"","cement","slag","ash","water","superplastic","coarseagg","fineagg","age","strength"
"473",288,192,0,192,0,932,717.8,28,38.8
"474",359,19,141,154,10.9,942,801,56,66.78
"475",356,0,142,193,11,801,778,28,40.87
"476",382,0,0,186,0,1111,784,7,11.47
"477",439,177,0,186,11.1,884.9,707.9,91,73.3
"478",264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54
"479",190.7,0,125.4,162.1,7.8,1090,804,14,21.06
"480",173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
"481",317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06
"482",288.4,121,0,177.4,7,907.9,829.5,28,42.14
"483",425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
"484",359,19,141,154,10.9,942,801,3,25.12
"485",237.5,237.5,0,228,0,932,594,365,39
"486",133,200,0,192,0,927.4,839.2,28,27.87
"487",427.5,47.5,0,228,0,932,594,28,37.43
"488",162,207,172,216,10,822,638,28,39.84
"489",251.8,0,99.9,146.1,12.4,1006,899.8,56,44.14
"490",425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
"491",491,26,123,210,3.9,882,699,7,33.49
"492",275,180,120,162,10.4,830,765,28,76.24
"493",145.4,0,178.9,201.7,7.8,824,868.7,28,10.54
"494",362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
"495",277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
"496",212.5,0,100.4,159.3,8.7,1007.8,903.6,3,13.54
"497",218.9,0,124.1,158.5,11.3,1078.7,794.9,100,46.23
"498",297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99
"499",333,0,0,192,0,931.2,842.6,28,31.97
"500",280,129,100,172,9,825,805,28,52.82
"501",178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
"502",339,0,0,185,0,1060,754,28,31.65
"503",500,0,0,200,0,1125,613,1,12.64
"504",362.6,189,0,164.9,11.6,944.7,755.8,7,22.9
"505",375,93.8,0,126.6,23.4,852.1,992.6,3,29
"506",382,0,0,185,0,1047,739,7,24
"507",451,0,0,165,11.3,1030,745,28,78.8
"508",251.8,0,99.9,146.1,12.4,1006,899.8,28,33.94
"509",212,141.3,0,203.5,0,973.4,750,90,39.7
"510",153,102,0,192,0,888,943.1,7,8.37
"511",318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2
"512",296,0,0,186,0,1090,769,28,25.18
"513",313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46
"514",164,0,200,181,13,849,846,28,15.09
"515",297.2,0,117.5,174.8,9.5,1022.8,753.5,56,51.96
"516",231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44
"517",203.5,305.3,0,203.5,0,963.4,630,7,19.54
"518",425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
"519",310,143,111,168,22,914,651,28,33.69
"520",349,0,0,192,0,1056,809,90,40.66
"521",480,0,0,192,0,936,721,3,24.39
"522",298.1,0,107.5,163.6,12.8,953.2,784,28,35.87
"523",446,24,79,162,11.6,967,712,28,51.02
"524",381.4,0,0,185.7,0,1104.6,784.3,7,14.54
"525",475,0,0,162,9.5,1044,662,28,58.52
"526",362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
"527",500,0,0,200,0,1125,613,3,26.06
"528",425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
"529",261,100,78,201,9,864,761,28,32.4
"530",359,19,141,154,10.9,942,801,56,68.75
"531",237.5,237.5,0,228,0,932,594,90,33.12
"532",393,0,0,192,0,940.6,785.6,3,19.2
"533",286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99
"534",213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
"535",173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
"536",238.1,0,94.1,186.7,7,949.9,847,3,19.93
"537",251.4,0,118.3,188.5,6.4,1028.4,757.7,14,24.43
"538",387,20,94,157,13.9,938,845,56,47.97
"539",531.3,0,0,141.8,28.2,852.1,893.7,7,46.9
"540",304,76,0,228,0,932,670,180,50.95
"541",525,0,0,189,0,1125,613,90,58.78
"542",145,116,119,184,5.7,833,880,28,29.16
"543",212,141.3,0,203.5,0,973.4,750,3,6.81
"544",374,189.2,0,170.1,10.1,926.1,756.7,7,46.2
"545",165,0,150,182,12,1023,729,28,18.03
"546",424,22,132,168,8.9,822,750,28,72.1
"547",150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43
"548",212,141.3,0,203.5,0,973.4,750,7,15.03
"549",272.8,181.9,0,185.7,0,1012.4,714.3,7,19.77
"550",284,15,141,179,5.5,842,801,28,43.73
"551",116,173,0,192,0,909.8,891.9,3,6.28
"552",260,101,78,171,10,936,763,28,49.77
"553",376,0,0,214.6,0,1003.5,762.4,28,31.97
"554",379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
"555",233.8,0,94.6,197.9,4.6,947,852.2,56,27.66
"556",181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94
"557",500,0,0,200,0,1125,613,90,47.22
"558",167,75.4,167,164,7.9,1007.3,770.1,14,32.9
"559",212.6,0,100.4,159.4,10.4,1003.8,903.8,3,13.33
"560",297.2,0,117.5,174.8,9.5,1022.8,753.5,28,47.4
"561",153.1,145,113,178.5,8,1001.9,688.7,28,25.56
"562",173,116,0,192,0,946.8,856.8,28,24.28
"563",525,0,0,189,0,1125,613,7,42.42
"564",289,0,0,192,0,913.2,895.3,28,25.57
"565",228,342.1,0,185.7,0,955.8,674.3,28,39.7
"566",182,45.2,122,170.2,8.2,1059.4,780.7,56,43.5
"567",144,136,106,178,7,941,774,28,26.14
"568",155,183,0,193,9,1047,697,28,18.28
"569",251.4,0,118.3,188.5,6.4,1028.4,757.7,3,13.12
"570",475,118.8,0,181.1,8.9,852.1,781.5,56,72.3
"571",190,190,0,228,0,932,670,270,50.66
"572",157,236,0,192,0,935.4,781.2,28,33.66
"573",355,19,97,145,13.1,967,871,28,44.03
"574",202,11,141,206,1.7,942,801,56,23.25
"575",446,24,79,162,11.6,967,712,56,55.25
"576",425,106.3,0,151.4,18.6,936,803.7,91,66.7
"577",362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
"578",425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
"579",190.7,0,125.4,162.1,7.8,1090,804,100,40.57
"580",325,0,0,184,0,1063,783,28,30.57
"581",251.4,0,118.3,188.5,6.4,1028.4,757.7,100,44.21
"582",525,0,0,189,0,1125,613,180,61.92
"583",212.5,0,100.4,159.3,8.7,1007.8,903.6,56,42.55
"584",149,236,0,176,13,847,893,28,32.96
"585",375,93.8,0,126.6,23.4,852.1,992.6,56,60.2
"586",173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
"587",165,0,143.6,163.8,0,1005.6,900.9,56,36.56
"588",168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
"589",157,214,152,200,9,819,704,28,33.05
"590",272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.25
"591",251.8,0,99.9,146.1,12.4,1006,899.8,100,45.37
"592",322,0,0,203,0,974,800,28,25.18
"593",238.1,0,0,185.7,0,1118.8,789.3,7,10.34
"594",424,22,132,168,8.9,822,750,56,74.36
"595",339,0,0,197,0,968,781,180,36.45
"596",331,0,0,192,0,978,825,3,13.52
"597",133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94
"598",212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9
"599",165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
"600",145,0,134,181,11,979,812,28,13.2
"601",277,0,0,191,0,968,856,3,11.36
"602",339,0,0,197,0,968,781,365,38.89
"603",143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42
"604",210.7,316.1,0,185.7,0,977,689.3,7,21.82
"605",362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
"606",260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
"607",305.3,203.5,0,203.5,0,965.4,631,3,14.14
"608",166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54
"609",500,0,0,151,9,1033,655,28,69.84
"610",475,0,0,228,0,932,594,7,38.6
"611",229.7,0,118.2,195.2,6.1,1028.1,757.6,100,40.86
"612",439,177,0,186,11.1,884.9,707.9,7,56.1
"613",393,0,0,192,0,940,758,3,19.11
"614",238.1,0,94.1,186.7,7,949.9,847,28,30.23
"615",491,26,123,201,3.9,822,699,56,61.86
"616",491,26,123,210,3.9,882,699,56,59.59
"617",388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2
"618",295.8,0,0,185.7,0,1091.4,769.3,7,14.84
"619",250,0,95.7,187.4,5.5,956.9,861.2,56,38.33
"620",339,0,0,197,0,968,781,14,27.04
"621",332.5,142.5,0,228,0,932,594,180,39.78
"622",167,75.4,167,164,7.9,1007.3,770.1,3,15.52
"623",380,95,0,228,0,932,594,180,40.76
"624",380,0,0,228,0,932,670,270,53.3
"625",288,121,0,177,7,908,829,28,42.13
"626",212.6,0,100.4,159.4,10.4,1003.8,903.8,100,47.74
"627",200,133,0,192,0,965.4,806.2,90,43.25
"628",387,20,94,157,13.9,938,845,3,25.51
"629",296,0,0,186,0,1090,769,7,18.91
"630",322.2,0,115.6,196,10.4,817.9,813.4,28,31.18
"631",251.4,0,118.3,188.5,5.8,1028.4,757.7,14,29.93
"632",446,24,79,162,11.6,967,712,3,35.36
"633",304,76,0,228,0,932,670,270,54.38
"634",310,0,0,192,0,1012,830,3,11.85
"635",405,0,0,175,0,1120,695,28,52.3
"636",321,164,0,190,5,870,774,28,57.21
"637",275,0,0,183,0,1088,808,7,14.2
"638",149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
"639",186.2,124.1,0,185.7,0,1083.4,764.3,7,8
"640",446,24,79,162,11.6,967,712,7,39.3
"641",401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1
"642",331,0,0,192,0,1025,821,3,14.31
"643",198.6,132.4,0,192,0,978.4,825.5,180,41.72
"644",222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71
"645",173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
"646",255,0,0,192,0,889.8,945,28,18.75
"647",255.3,98.8,77,188.6,6.5,919,749.3,28,33.8
"648",322,0,116,196,10,818,813,28,31.18
"649",266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42
"650",480,0,0,192,0,936.2,712.2,3,24.4
"651",250,0,95.7,191.8,5.3,948.9,857.2,3,8.49
"652",190.7,0,125.4,162.1,7.8,1090,804,28,26.4
"653",214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
"654",277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95
"655",385,0,136,158,20,903,768,28,55.55
"656",307,0,0,193,0,968,812,3,12.54
"657",295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
"658",246.8,0,125.1,143.3,12,1086.8,800.9,3,23.52
"659",525,0,0,189,0,1125,613,28,55.94
"660",250,0,0,182,0,1100,820,7,12.73
"661",251.4,0,118.3,192.9,5.8,1043.6,754.3,56,39.27
"662",540,0,0,173,0,1125,613,14,59.76
"663",190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85
"664",387,20,94,157,14.3,938,845,7,36.84
"665",173,116,0,192,0,946.8,856.8,7,11.39
"666",166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63
"667",310,0,0,192,0,970,850,28,27.92
"668",254,0,0,198,0,968,863,3,9.31
"669",190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72
"670",145,0,179,202,8,824,869,28,10.54
"671",277.1,0,97.4,160.6,11.8,973.9,875.6,3,23.14
"672",289,0,0,192,0,913.2,895.3,3,11.65
"673",339.2,0,0,185.7,0,1069.2,754.3,28,31.9
"674",200,0,0,180,0,1125,845,7,7.84
"675",295.8,0,0,185.7,0,1091.4,769.3,28,25.22
"676",230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08
"677",425,106.3,0,151.4,18.6,936,803.7,7,46.8
"678",238.1,0,94.1,186.7,7,949.9,847,56,39.59
"679",284,15,141,179,5.5,842,801,3,13.4
"680",349,0,0,192,0,1047,806.9,3,15.05
"681",152,178,139,168,18,944,695,28,36.35
"682",160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31
"683",202,11,141,206,1.7,942,801,7,15.07
"684",194.7,0,100.5,170.2,7.5,998,901.8,3,12.18
"685",156,178,187,221,7,854,614,28,29.41
"686",222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
"687",143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
"688",168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
"689",266,114,0,228,0,932,670,90,47.03
"690",194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
"691",349,0,0,192,0,1056,809,28,33.61
"692",380,95,0,228,0,932,594,7,32.82
"693",151,0,184,167,12,991,772,28,15.57
"694",376,0,0,214.6,0,1003.5,762.4,3,16.28
"695",212,0,124.8,159,7.8,1085.4,799.5,28,38.5
"696",310,0,0,192,0,971,850.6,3,9.87
"697",307,0,0,193,0,968,812,180,34.49
"698",166,259.7,0,183.2,12.7,858.8,826.8,28,37.92
"699",252.5,0,0,185.7,0,1111.6,784.3,7,11.48
"700",475,118.8,0,181.1,8.9,852.1,781.5,28,68.3
"701",229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54
"702",158.8,238.2,0,185.7,0,1040.6,734.3,7,9.62
"703",139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44
"704",349,0,0,192,0,1047,806,3,14.99
"705",157,236,0,192,0,935.4,781.2,3,9.69
"706",122.6,183.9,0,203.5,0,958.2,800.1,7,10.35
"707",218.9,0,124.1,158.5,11.3,1078.7,794.9,14,26.05
"708",331,0,0,192,0,978,825,90,37.23
"709",295,0,0,185,0,1069,769,28,25.18
"710",173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
"711",374.3,0,0,190.2,6.7,1013.2,730.4,28,39.06
"712",287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
"713",298.1,0,107,186.4,6.1,879,815.2,28,42.64
"714",190,190,0,228,0,932,670,365,53.69
"715",350,0,0,186,0,1050,770,28,34.29
"716",303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.42
"717",350,0,0,203,0,974,775,28,27.34
"718",168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
"719",339,0,0,185,0,1069,754,7,21.16
"720",252.3,0,98.8,146.3,14.2,987.8,889,3,21.78
"721",380,95,0,228,0,932,594,365,43.7
"722",500,0,0,200,0,1125,613,180,51.04
"723",249.1,0,98.8,158.1,12.8,987.8,889,28,30.85
"724",167,75.4,167,164,7.9,1007.3,770.1,56,53.46
"725",381.4,0,0,185.7,0,1104.6,784.3,28,22.49
"726",500,0,0,200,0,1125,613,28,44.09
"727",212,141.3,0,203.5,0,973.4,750,28,33
"728",255,0,0,192,0,889.8,945,7,10.22
"729",220.8,147.2,0,185.7,0,1055,744.3,7,13.09
"730",192,288,0,192,0,929.8,716.1,28,39.32
"731",213.7,0,174.7,154.8,10.2,1053.5,776.4,100,50.08
"732",190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45
"733",540,0,0,162,2.5,1040,676,28,79.99
"734",362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
"735",214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
"736",289,0,0,192,0,913.2,895.3,7,14.6
"737",108.3,162.4,0,203.5,0,938.2,849,28,20.59
"738",210.7,316.1,0,185.7,0,977,689.3,28,37.81
"739",362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
"740",170.3,155.5,0,185.7,0,1026.6,724.3,28,25.73
"741",140,164,128,237,6,869,656,28,35.23
"742",540,0,0,173,0,1125,613,90,69.66
"743",135.7,203.5,0,185.7,0,1076.2,759.3,28,18.2
"744",150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.57
"745",469,117.2,0,137.8,32.2,852.1,840.5,7,54.9
"746",290.4,0,96.2,168.1,9.4,961.2,865,100,48.97
"747",167,75.4,167,164,7.9,1007.3,770.1,100,56.81
"748",250.2,166.8,0,203.5,0,977.6,694.1,7,19.35
"749",236,0,0,194,0,968,885,28,18.42
"750",192,288,0,192,0,929.8,716.1,7,21.48
"751",333,17.5,163,167,17.9,996,652,28,47.28
"752",158.8,238.2,0,185.7,0,1040.6,734.3,28,21.07
"753",252.3,0,98.8,146.3,14.2,987.8,889,28,50.6
"754",446,24,79,162,11.6,967,712,7,38.02
"755",254,0,0,198,0,968,863,365,29.79
"756",349,0,0,192,0,1047,806,360,42.13
"757",213.5,0,174.2,159.2,11.7,1043.6,771.9,3,15.61
"758",251.4,0,118.3,188.5,5.8,1028.4,757.7,28,29.65
"759",194.7,0,100.5,170.2,7.5,998,901.8,56,43.39
"760",135,105,193,196,6,965,643,28,21.91
"761",277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28
"762",251.4,0,118.3,188.5,5.8,1028.4,757.7,100,43.58
"763",387,20,94,157,14.3,938,845,3,22.75
"764",525,0,0,189,0,1125,613,3,33.8
"765",151,0,185,167,16,1074,678,28,13.46
"766",146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99
"767",362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
"768",313.3,145,0,178.5,8,1001.9,688.7,28,41.05
"769",250.2,166.8,0,203.5,0,977.6,694.1,28,36.96
"770",374,0,0,190,7,1013,730,28,39.05
"771",146,230,0,202,3,827,872,28,33.06
"772",168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
"773",212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92
"774",400,0,0,187,0,1025,745,7,30.14
"775",212.6,0,100.4,159.4,10.4,1003.8,903.8,56,44.4
"776",275,0,0,183,0,1088,808,28,24.5
"777",540,0,0,173,0,1125,613,180,71.62
"778",376,0,0,214.6,0,1003.5,762.4,56,36.3
"779",314,0,113,170,10,925,783,28,38.46
"780",298,0,107,164,13,953,784,28,35.86
"781",251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
"782",296,0,106.7,221.4,10.5,819.2,778.4,28,31.42
"783",251.4,0,118.3,192.9,5.8,1043.6,754.3,14,20.73
"784",153,102,0,192,0,888,943.1,3,4.78
"785",314,145.3,113.2,178.9,8,869.1,690.2,28,46.23
"786",190.3,0,125.2,166.6,9.9,1079,798.9,100,33.56
"787",446,24,79,162,11.6,967,712,3,23.35
"788",307,0,0,193,0,968,812,90,32.92
"789",516,0,0,162,8.3,801,802,28,41.37
"790",168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
"791",427.5,47.5,0,228,0,932,594,7,35.08
"792",173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
"793",333,0,0,192,0,931.2,842.6,7,23.4
"794",339,0,0,197,0,968,781,7,20.97
"795",152,0,112,184,8,992,816,28,12.18
"796",213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
"797",152.7,144.7,0,178.1,8,999.7,822.2,28,19.01
"798",198.6,132.4,0,192,0,978.4,825.5,7,14.64
"799",222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58
"800",305,0,100,196,10,959,705,28,30.12
"801",375,0,0,186,0,1038,758,7,26.06
"802",297.2,0,117.5,174.8,9.5,1022.8,753.5,100,56.74
"803",148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.7
"804",272.8,105.1,81.8,209.7,9,904,679.7,28,37.17
"805",424,22,132,168,8.9,822,750,3,32.11
"806",359,19,141,154,10.9,942,801,7,38.61
"807",332.5,142.5,0,228,0,932,594,28,33.02
"808",380,95,0,228,0,932,594,28,36.45
"809",446,24,79,162,11.6,967,712,7,52.01
"810",108.3,162.4,0,203.5,0,938.2,849,7,7.72
"811",249.1,0,98.8,158.1,12.8,987.8,889,14,28.68
"812",389.9,189,0,145.9,22,944.7,755.8,7,59.09
"813",250,0,95.7,191.8,5.3,948.9,857.2,14,24.66
"814",213.7,0,174.7,154.8,10.2,1053.5,776.4,3,17.57
"815",165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
"816",182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27
"817",469,117.2,0,137.8,32.2,852.1,840.5,28,66.9
"818",154,174,185,228,7,845,612,28,24.34
"819",250,0,0,182,0,1100,820,28,20.87
"820",200,133,0,192,0,965.4,806.2,28,30.44
"821",172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
"822",164.2,0,200.1,181.2,12.6,849.3,846,28,15.09
"823",382.5,0,0,185.7,0,1047.8,739.3,7,24.07
"824",313,161,0,178,10,917,759,28,52.44
"825",250,180,95,159,9.5,860,800,28,67.87
"826",397,0,0,185,0,1040,734,28,39.09
"827",139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
"828",190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56
"829",331,170,0,195,8,811,802,28,56.61
"830",229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32
"831",425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
"832",385,0,0,186,0,966,763,1,6.27
"833",238.1,0,94.1,186.7,7,949.9,847,14,25.69
"834",325.6,166.4,0,174,8.9,881.6,790,28,61.24
"835",337.9,189,0,174.9,9.5,944.7,755.8,91,67.8
"836",222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89
"837",212,0,124.8,159,7.8,1085.4,799.5,100,47.82
"838",181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57
"839",531.3,0,0,141.8,28.2,852.1,893.7,56,58.8
"840",337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
"841",302,0,0,203,0,974,817,28,21.75
"842",313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8
"843",332.5,142.5,0,228,0,932,594,7,30.28
"844",300,0,0,184,0,1075,795,7,15.58
"845",337.9,189,0,174.9,9.5,944.7,755.8,3,24.1
"846",388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9
"847",491,26,123,201,3.9,822,699,3,29.55
"848",165,0,143.6,163.8,0,1005.6,900.9,3,14.4
"849",252.3,0,98.8,146.3,14.2,987.8,889,56,55.83
"850",349,0,0,192,0,1056,809,3,15.87
"851",427.5,47.5,0,228,0,932,594,270,43.01
"852",249.1,0,98.8,158.1,12.8,987.8,889,3,15.36
"853",203.5,135.7,0,185.7,0,1076.2,759.3,28,22.63
"854",132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
"855",387,20,94,157,11.6,938,845,3,34.77
"856",425,106.3,0,151.4,18.6,936,803.7,3,36.3
"857",312.7,144.7,0,127.3,8,999.7,822.2,28,44.52
"858",375,93.8,0,126.6,23.4,852.1,992.6,28,56.7
"859",218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
"860",300,0,0,184,0,1075,795,28,26.85
"861",162,190,148,179,19,838,741,28,33.76
"862",310,0,0,192,0,970,850,180,37.33
"863",310,0,0,192,0,1012,830,120,38.7
"864",401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7
"865",213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
"866",153,145,113,178,8,1002,689,28,25.56
"867",273,105,82,210,9,904,680,28,37.17
"868",214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
"869",172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
"870",516,0,0,162,8.2,801,802,28,41.37
"871",116,173,0,192,0,909.8,891.9,7,10.09
"872",331,0,0,192,0,1025,821,7,17.44
"873",212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61
"874",155,0,143,193,9,1047,697,28,12.46
"875",401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1
"876",279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83
"877",158.4,0,194.9,219.7,11,897.7,712.9,28,8.54
"878",265,111,86,195,6,833,790,28,41.54
"879",237.5,237.5,0,228,0,932,594,270,38.41
"880",290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
"881",425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
"882",277.1,0,97.4,160.6,11.8,973.9,875.6,14,41.89
"883",213.5,0,174.2,154.6,11.7,1052.3,775.5,14,33.7
"884",146,173,0,182,3,986,817,28,23.74
"885",425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
"886",500.1,0,0,200,3,1124.4,613.2,28,44.13
"887",295.7,0,95.6,171.5,8.9,955.1,859.2,56,48.72
"888",213.5,0,174.2,154.6,11.7,1052.3,775.5,56,51.43
"889",141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
"890",491,26,123,201,3.9,822,699,28,57.92
"891",148.1,0,182.1,181.4,15,838.9,884.3,28,15.53
"892",313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6
"893",362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
"894",250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
"895",212,0,124.8,159,7.8,1085.4,799.5,56,45.08
"896",148,0,137,158,16,1002,830,28,17.95
"897",393,0,0,192,0,940.6,785.6,28,39.6
"898",286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4
"899",233.8,0,94.6,197.9,4.6,947,852.2,100,34.56
"900",213.7,0,174.7,154.8,10.2,1053.5,776.4,56,46.64
"901",254,0,0,198,0,968,863,180,27.63
"902",475,0,0,228,0,932,594,365,41.93
"903",379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5
"904",355.9,0,141.6,193.3,11,801.4,778.4,28,40.87
"905",153,145,0,178,8,1000,822,28,19.01
"906",318,0,126,210,6,861,737,28,40.06
"907",159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.77
"908",285,190,0,163,7.6,1031,685,28,53.58
"909",379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6
"910",314,145,113,179,8,869,690,28,46.23
"911",331,0,0,192,0,879,825,3,13.52
"912",424,22,132,178,8.5,822,750,28,62.05
"913",159,149,116,175,15,953,720,28,27.68
"914",318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1
"915",168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
"916",385,0,0,186,0,966,763,7,23.22
"917",212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2
"918",194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99
"919",239.6,359.4,0,185.7,0,941.6,664.3,28,39.44
"920",310,0,0,192,0,970,850,360,38.11
"921",181.4,0,167,169.6,7.6,1055.6,777.8,14,21.6
"922",310,0,0,192,0,970,850,90,34.68
"923",375,0,0,186,0,1038,758,28,38.21
"924",310,0,0,192,0,970,850,7,14.99
"925",297,0,0,186,0,1040,734,7,30.96
"926",295.7,0,95.6,171.5,8.9,955.1,859.2,3,22.95
"927",475,118.8,0,181.1,8.9,852.1,781.5,7,55.6
"928",144,15,195,176,6,1021,709,28,15.34
"929",446,24,79,162,10.3,967,712,56,54.77
"930",321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.27
"931",350,0,0,203,0,974,775,7,18.13
"932",313.3,145,0,178.5,8,867.2,824,28,40.93
"933",316.1,210.7,0,185.7,0,977,689.3,7,24.44
"934",362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
"935",397,0,0,185.7,0,1040.6,734.3,28,33.08
"936",540,0,0,173,0,1125,613,28,67.31
"937",313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.8
"938",355,19,97,145,12.3,967,871,28,55.45
"939",307,0,0,193,0,968,812,28,27.53
"940",312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.45
"941",153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
"942",214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
